station_id,name,latitude,longitude,capacity,num_bikes_available,last_reported
503,E 20 St & Park Ave,40.73827428,-73.98751968,29,27,2016-01-22
504,1 Ave & E 15 St,40.73221853,-73.98165557,45,3,2016-01-22
505,6 Ave & W 33 St,40.74901271,-73.98848395,36,8,2016-01-22
507,E 25 St & 2 Ave,40.73912601,-73.97973776,47,0,2016-01-22
508,W 46 St & 11 Ave,40.76341379,-73.99667444,24,11,2016-01-22
509,9 Ave & W 22 St,40.7454973,-74.00197139,36,34,2016-01-22
510,W 51 St & 6 Ave,40.7606597,-73.98042047,51,35,2016-01-22
511,E 14 St & Avenue B,40.72938685,-73.97772429,33,5,2016-01-22
512,W 29 St & 9 Ave,40.7500727,-73.99839279,27,9,2016-01-22
513,W 56 St & 10 Ave,40.768254,-73.988639,27,0,2016-01-22
514,12 Ave & W 40 St,40.76087502,-74.00277668,53,21,2016-01-22
515,W 43 St & 10 Ave,40.76009437,-73.99461843,35,11,2016-01-22
516,E 47 St & 1 Ave,40.75206862,-73.96784384,31,2,2016-01-22
517,Pershing Square South,40.751581,-73.97791,59,2,2016-01-22
518,E 39 St & 2 Ave,40.74780373,-73.9734419,39,5,2016-01-22
519,Pershing Square North,40.751873,-73.977706,61,29,2016-01-22
520,W 52 St & 5 Ave,40.75992262,-73.97648516,39,24,2016-01-22
521,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,39,38,2016-01-22
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,51,23,2016-01-22
523,W 38 St & 8 Ave,40.75466591,-73.99138152,51,15,2016-01-22
524,W 43 St & 6 Ave,40.75527307,-73.98316936,57,22,2016-01-22
525,W 34 St & 11 Ave,40.75594159,-74.0021163,39,9,2016-01-22
526,E 33 St & 5 Ave,40.74765947,-73.98490707,39,5,2016-01-22
527,E 33 St & 2 Ave,40.744023,-73.976056,59,2,2016-01-22
528,2 Ave & E 31 St,40.74290902,-73.97706058,39,9,2016-01-22
529,W 42 St & 8 Ave,40.7575699,-73.99098507,41,33,2016-01-22
530,11 Ave & W 59 St,40.771522,-73.990541,36,3,2016-01-22
531,Forsyth St & Broome St,40.71893904,-73.99266288,39,2,2016-01-22
532,S 5 Pl & S 4 St,40.710451,-73.960876,43,12,2016-01-22
533,Broadway & W 39 St,40.75299641,-73.98721619,50,11,2016-01-22
534,Water - Whitehall Plaza,40.70255065,-74.0127234,31,27,2016-01-22
536,1 Ave & E 30 St,40.74144387,-73.97536082,29,4,2016-01-22
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,39,8,2016-01-22
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,31,11,2016-01-22
540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,30,5,2016-01-22
545,E 23 St & 1 Ave,40.736502,-73.97809472,27,6,2016-01-22
546,E 30 St & Park Ave S,40.74444921,-73.98303529,38,14,2016-01-22
2000,Front St & Washington St,40.70255088,-73.98940236,30,15,2016-01-22
2001,Sands St & Navy St,40.699773,-73.979927,15,7,2016-01-22
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,27,8,2016-01-22
2003,1 Ave & E 18 St,40.733812191966315,-73.98054420948029,39,8,2016-01-22
2004,6 Ave & Broome St,40.724399,-74.004704,36,26,2016-01-22
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,12,6,2016-01-22
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,49,20,2016-01-22
2008,Little West St & 1 Pl,40.70569254,-74.01677685,24,13,2016-01-22
2009,Catherine St & Monroe St,40.71117444,-73.99682619,35,1,2016-01-22
2010,Grand St & Greene St,40.72165481,-74.00234737,39,0,2016-01-22
2012,E 27 St & 1 Ave,40.739445,-73.976806,36,15,2016-01-22
2017,E 43 St & 2 Ave,40.75022392,-73.97121414,39,0,2016-01-22
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,43,0,2016-01-22
2022,E 60 St & York Ave,40.759107,-73.959223,33,2,2016-01-22
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,36,10,2016-01-22
3002,South End Ave & Liberty St,40.711512,-74.015756,25,7,2016-01-22
